,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,z,p,-log2(p)
0,tri-SNP 101,0.2753168425718056,1.3169478739222282,0.13155304541259072,0.017477611506565627,0.5331560736370455,1.0176312386654134,1.7043027343606478,2.092819985339963,0.03636522707306469,4.781296604918374
1,FDR-CD,1.0368389984351671,2.82028797473091,0.15351965368768697,0.735946006288239,1.3377319905820952,2.0874558050562877,3.810391693632671,6.753786720653127,1.4403543964288365e-11,36.0147852160762
2,gluten_intake,0.11544498190340659,1.1223727620365065,0.045186033638680706,0.02688198336737703,0.20400798043943613,1.0272465634292116,1.226307939893405,2.5548819537146086,0.010622381561853115,6.556748931892389
3,"rs4851575 (IL18R1, IL18RAP)",0.24781664588939967,1.281224992787095,0.0993786117624368,0.053038146001434944,0.44259514577736436,1.0544698681612807,1.5567419531908508,2.4936617798787726,0.012643295347538134,6.305483653321997
4,"rs114569351 (PLEK,FBXO48)",0.07836904140072096,1.0815217113193352,0.41325944638501555,-0.731604589784871,0.8883426725863129,0.48113634390333376,2.4310971866430204,0.18963641868626033,0.8495940470245653,0.23515443745318965
5,"rs12493471 (CCR9,LZTFL1,CXCR6)",0.3118542410178367,1.3659555782236845,0.08387551276038102,0.14746125682266017,0.4762472252130132,1.1588883849417597,1.6100210045458077,3.718060620490686,0.0002007581009701512,12.282254175151023
6,"rs1054091 (RSPH3,TAGAP)",0.11112315492589146,1.1175325280155914,0.11755858368023561,-0.11928743516090849,0.3415337450126914,0.8875526502552523,1.4071040752497916,0.9452576872493735,0.3445273347061897,1.5373096443798104
7,rs72704176 (ASH1L),0.4287027881261291,1.5352646676931343,0.23950312497335852,-0.04071471100644919,0.8981202872587074,0.9601029976981325,2.454984106411456,1.7899674092929538,0.0734591508394508,3.7669139706285675
8,rs3771689 (BAZ2B),-0.3409321424964301,0.7111071605259343,0.13041090461944982,-0.5965328187418399,-0.08533146625102028,0.5507177680559365,0.9182078790308713,-2.6142916766914492,0.008941266877436812,6.805305025031368
9,rs13014907 (ZNF804A),0.6515029553174546,1.9184219658562889,0.26559786592561224,0.13094070373255662,1.1720652069023525,1.1399001874816035,3.228653595724848,2.45296758333113,0.014168310614286136,6.141188443776517
10,rs11739460 (TCOF1),0.10840026125663708,1.114493744789176,0.0849214765960339,-0.05804277438555046,0.27484329689882464,0.9436095842533837,1.316324386591506,1.2764764062251328,0.20178716195063556,2.3090937042851225
11,rs77532435 (GRB10),0.31189925573593047,1.3660170677129224,0.19936637888545716,-0.07885166660773224,0.7026501780795932,0.9241770005879039,2.0190965887443384,1.5644526297742876,0.11771130924042646,3.086675159376969
12,rs6967298 (AUTS2),-0.31628034576122116,0.7288550900881705,0.1273855229204891,-0.5659513828371814,-0.06660930868526097,0.5678196758067371,0.9355606453627795,-2.4828594216207405,0.01303325108007584,6.261659187828302
13,rs61751041 (LAMB1),0.5545341139723041,1.7411296278228072,0.2421428699932629,0.0799428096723443,1.029125418272264,1.0832251159041508,2.7986171446477357,2.2901112636012484,0.022014867595017716,5.505378022337791
14,rs2409747 (XKR6),0.2387955382872837,1.269718901140792,0.12161940361009474,0.0004258873902573679,0.47716518918431006,1.000425978093168,1.611499624377047,1.9634657891667462,0.04959207588018623,4.333746573228178
15,Male,-0.6972631104157246,0.49794626448710655,0.1227257363555543,-0.937801133648769,-0.45672508718268023,0.39148771879946503,0.6333544333830641,-5.681474245920612,1.3353862544428662e-08,26.15816766379968
16,AMR,-0.5903712906372546,0.5541215064078574,0.4201963912371224,-1.4139410838957165,0.23319850262120723,0.2431829875377006,1.2626320902325092,-1.4049889598030847,0.1600245612364159,2.6436347419339215
17,AFR,-0.4560621719074148,0.6337744329082803,1.0723769721656753,-2.55788241520225,1.6457580713874207,0.077468613232484,5.18493897138441,-0.4252815789082015,0.6706314205793635,0.5764080166884121
18,SWE,0.16027930253941997,1.1738386813351147,0.14565591692626417,-0.12520104877121585,0.4457596538500558,0.8823194955010645,1.5616760785910784,1.1003967838845752,0.27115927915357696,1.882787554223368
19,FIN,0.058602895649201354,1.060354085903585,0.16821098041570295,-0.2710845677697488,0.3882903590681515,0.7625520063557191,1.4744578443452871,0.3483892401338778,0.7275478821243744,0.45888589562221616
20,GER,-0.268410343966006,0.764593970199946,0.33311526198002345,-0.9213042601474768,0.38448357221546475,0.39799960739318224,1.4688555677106183,-0.8057581702218803,0.4203823013404062,1.2502261637079222
