,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,z,p,-log2(p)
0,tri-SNP 101,-0.34101274068165427,0.711049848888934,0.20797990633973132,-0.7486458666155413,0.0666203852522328,0.473006633339228,1.0688896348782884,-1.6396427264690479,0.10107947380897746,3.3064380357329815
1,FDR-T1D,1.042342009763023,2.835850833423184,0.2778782475728096,0.49771065243321144,1.5869733670928343,1.644951091942182,4.888929518221588,3.7510745042751457,0.00017607836395993863,12.471494734011117
2,rs428595 (PPIL2),0.20379610755588054,1.2260481460166632,0.512401498142462,-0.8004923744277126,1.2080845895394736,0.4491077804827109,3.347067500668172,0.397727384277123,0.6908311494043646,0.5335949597940601
3,rs1004446 (INS),-0.14484322965535074,0.865157913584118,0.17142053509728883,-0.48082130465662115,0.19113484534591968,0.6182753907653765,1.2106226879103859,-0.8449584501246932,0.39813403802119707,1.3286738765975847
4,rs2476601 (PTPN22),0.41258426636770007,1.510716839564852,0.21008471975991155,0.0008257819360831808,0.824342750799317,1.000826122987858,2.280381493771724,1.9638946937178892,0.04954230535094307,4.335195186733658
5,rs2292239 (ERBB3),0.25051875723838635,1.284691686968244,0.1548229739149389,-0.052928695614278154,0.5539662100910508,0.9484476385475079,1.740141114266312,1.6180980826270883,0.10564146166956784,3.2427519268076925
6,rs3184504 (SH2B3),0.19114852265576743,1.2106392460852324,0.14660444145433646,-0.09619090256834295,0.4784879478798778,0.9082906045076743,1.6136326599527613,1.303838551953457,0.19228863498461612,2.3786545986467122
7,rs9934817 (RBFOX1),-0.018615328503064882,0.9815568665797659,0.5915778670448243,-1.178086641961945,1.1408559849558153,0.30786723566881685,3.1294459777015966,-0.03146724977399194,0.9748969100983511,0.036678424900126745
8,rs11705721 (PXK/PDHB),0.24215215983250074,1.2739880278737952,0.16304333767727533,-0.07740690993416136,0.5617112295991629,0.9255131764691557,1.7536708676128205,1.485201194248193,0.13749053576339332,2.862595781538414
9,Male,0.19319774150163221,1.2131226544984675,0.22481158013927482,-0.24742485887888654,0.633820341882151,0.7808088894620135,1.8847974129385276,0.8593762891659884,0.3901329468803393,1.3579622552181427
10,AMR,-0.43037154127586075,0.6502674486378313,0.6227252202595891,-1.6508905452494278,0.7901474626977062,0.19187895561896884,2.2037213689949464,-0.6911098623827314,0.4894965029349492,1.0306295419356717
11,AFR,0.20680866112034837,1.229747250807221,0.8099859661016439,-1.3807346604217547,1.7943519826624514,0.2513937961289734,6.01557526142001,0.25532375840496513,0.7984730513498828,0.32468437772043196
12,SWE,-0.01029412251367088,0.9897586806228499,0.24460705110521128,-0.4897151330444334,0.4691268880170916,0.612800936059653,1.5985978287946403,-0.04208432449988179,0.9664314763369057,0.049260651383678244
13,FIN,-0.8004058719002537,0.4491466311211391,0.44124795630686825,-1.6652359745136187,0.06442423071311143,0.18914601907551276,1.0665447638468715,-1.813959386009274,0.06968397875748529,3.8430291896924658
14,GER,-0.1840452855697192,0.8318981299928726,0.4592330311106598,-1.0841254870577746,0.7160349159183361,0.3381974146264143,2.0463033386878724,-0.40076665462108374,0.6885919313977442,0.538278818714736
